Type,Epic,Feature,Story,Task,Template,ResourceType,HoursEffort,DurationDays,Description,Assumptions,EpicStatus,FeatureStatus,StoryStatus
Epic,Service Enablement,,,,,,,,,,active,,
Feature,Service Enablement,Fabric - Azure,,,,,,,,,,active,
Story,Service Enablement,Fabric - Azure,Fabric Capacity,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Requirements,,Principal Engineer - Cloud & DevOps,7.6,1,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Pilot,,Principal Engineer - Cloud & DevOps,38,5,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Design,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Monitoring Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Module Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Unit Testing,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Azure Policy Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Module Usage Example,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Technical Oversight,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,Fabric Capacity,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Story,Service Enablement,Fabric - Azure,fabric-bootstrap,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Requirements,,Principal Engineer - Cloud & DevOps,7.6,1,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Pilot,,Principal Engineer - Cloud & DevOps,38,5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Design,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Monitoring Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Module Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Unit Testing,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Azure Policy Development,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Module Usage Example,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Technical Oversight,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-bootstrap,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Story,Service Enablement,Fabric - Azure,fabric-workspace,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-workspace,Requirements,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Pilot,,Principal Engineer - Cloud & DevOps,57,7.5,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Design,,Principal Engineer - Cloud & DevOps,39.9,5.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Monitoring Development,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Module Development,,Principal Engineer - Cloud & DevOps,24.7,3.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Unit Testing,,Principal Engineer - Cloud & DevOps,30.4,4,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Azure Policy Development,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Module Usage Example,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Technical Oversight,,Principal Engineer - Cloud & DevOps,60.8,8,,,,,
Task,Service Enablement,Fabric - Azure,fabric-workspace,Knowledge Transfer,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Story,Service Enablement,Fabric - Azure,fabric-mpe,,Service Enablement Activities,,,,,,,,active
Task,Service Enablement,Fabric - Azure,fabric-mpe,Requirements,,Principal Engineer - Cloud & DevOps,15.2,2,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Pilot,,Principal Engineer - Cloud & DevOps,47.5,6.25,,,,,
Task,Service Enablement,Fabric - Azure,fabric-mpe,Design,,Principal Engineer - Cloud & DevOps,32.3,4.25,,,,,
